country-code,gcbr-index,zoonotic,zoonotic-1.1,zoonotic-1.2,zoonotic-2.1,zoonotic-2.3,zoonotic-3.1,zoonotic-3.2,zoonotic-3.3,lab-leak,lab-leak-1.1,lab-leak-1.2,lab-leak-1.3,lab-leak-2.1,lab-leak-3.1,lab-leak-3.2,lab-leak-3.3,lab-leak-3.4,lab-leak-3.5,lab-leak-4.1,lab-leak-4.2,lab-leak-5.1
BRB,48.35119048,49.28571429,10,44,36,90,34,63,68,47.41666667,27,67,46,51,79,46,15,95,7,47,20,69
BLR,51.58928571,65.42857143,57,78,95,51,45,64,68,37.75,67,52,32,32,1,71,8,2,61,32,79,16
BEL,60.77380952,53.71428571,0,68,41,58,69,88,52,67.83333333,49,87,29,98,71,89,2,93,47,96,80,73
BLZ,47.91666667,45,25,79,1,22,86,18,84,50.83333333,28,70,80,4,78,58,28,16,71,62,88,27
BEN,58.83928571,48.42857143,52,77,13,3,89,20,85,69.25,82,83,83,73,95,49,23,93,45,91,87,27
BMU,47.33333333,50,71,34,54,38,67,43,43,44.66666667,6,56,85,10,3,2,76,52,41,86,93,26
BTN,45.75,49,13,1,83,47,44,87,68,42.5,22,47,0,48,68,66,35,45,56,19,50,54
BOL,52.45238095,64.57142857,67,31,69,99,31,78,77,40.33333333,66,52,22,89,62,30,46,16,29,22,10,40
BES,36.44047619,18.71428571,9,6,1,18,18,54,25,54.16666667,6,71,68,98,64,36,79,32,45,28,36,87
BIH,46.29761905,41.42857143,4,74,25,99,22,31,35,51.16666667,19,51,38,80,24,80,80,31,65,91,0,55
BWA,54.63095238,54.42857143,93,43,27,54,22,45,97,54.83333333,91,71,58,70,75,34,100,26,12,31,70,20
BVT,53.19047619,71.71428571,53,75,43,77,96,81,77,34.66666667,28,11,29,17,16,26,58,58,6,38,34,95
BRA,40.80952381,42.28571429,100,6,26,21,6,97,40,39.33333333,41,28,24,3,30,52,82,55,90,10,39,18
IOT,56.86904762,63.57142857,71,59,80,80,44,21,90,50.16666667,78,16,54,7,85,38,84,39,37,46,66,52
BRN,54.44047619,54.71428571,58,85,82,49,61,43,5,54.16666667,30,77,29,78,8,89,93,38,54,47,44,63
BGR,52.86309524,54.14285714,97,90,12,4,78,45,53,51.58333333,91,38,39,54,69,87,10,99,17,51,22,42
BFA,51.83333333,52,85,59,51,14,52,9,94,51.66666667,79,93,37,98,43,48,81,16,35,70,16,4
BDI,48.9047619,49.14285714,78,56,41,43,83,2,41,48.66666667,31,38,59,83,21,60,53,65,78,4,70,22
CPV,49.36309524,48.14285714,40,95,95,45,32,24,6,50.58333333,52,89,11,75,89,82,76,2,15,51,39,26
KHM,45.70238095,42.57142857,51,71,40,1,73,58,4,48.83333333,6,56,27,69,68,25,46,75,61,31,87,35
CMR,42.05357143,43.85714286,63,89,46,6,98,0,5,40.25,50,23,85,83,16,12,1,11,2,46,79,75
CAN,49,52,89,92,16,7,91,42,27,46,11,25,0,5,66,13,86,75,86,79,66,40
CYM,36.83333333,38,10,32,51,76,9,74,14,35.66666667,64,95,2,88,22,13,6,9,56,1,29,43
CAF,44.41666667,44,12,69,13,80,13,38,83,44.83333333,72,28,21,18,38,79,33,67,77,32,72,1
TCD,44.58333333,54,34,23,54,95,35,99,38,35.16666667,25,86,70,0,23,4,1,84,27,34,44,24
CHL,53.92857143,59.85714286,23,74,35,88,56,59,84,48,55,56,41,79,21,39,24,88,53,3,73,44
CHN,56.2797619,62.14285714,74,48,88,60,79,17,69,50.41666667,53,56,36,97,8,8,52,19,97,36,51,92
CXR,48.61904762,53.57142857,71,75,28,75,35,13,78,43.66666667,1,71,51,57,81,64,8,41,4,57,4,85
CCK,51.20833333,54,81,8,50,86,46,68,39,48.41666667,77,60,67,75,30,7,55,39,47,43,72,9
COL,46.66071429,53.57142857,20,20,98,22,58,97,60,39.75,56,9,9,11,28,92,14,77,27,46,70,38
COM,51.80357143,45.85714286,62,40,77,46,10,63,23,57.75,11,67,65,74,88,68,38,51,67,3,64,97
COD,57.23809524,55.14285714,68,56,82,65,41,43,31,59.33333333,80,78,18,94,96,53,43,39,95,1,50,65
COG,51.9047619,60.14285714,95,0,75,73,57,39,82,43.66666667,70,9,8,14,78,37,64,98,27,13,6,100
COK,45.875,44,7,96,29,23,21,96,36,47.75,61,11,65,26,93,65,68,10,48,24,76,26
CRI,49.06547619,35.71428571,35,44,58,60,28,1,24,62.41666667,10,25,79,39,94,72,70,53,84,96,84,43
CIV,44.04761905,62.42857143,74,85,33,55,16,96,78,25.66666667,7,3,55,3,61,14,1,12,22,35,64,31
HRV,52.82738095,46.57142857,95,49,5,31,90,38,18,59.08333333,61,94,60,74,1,74,76,53,18,45,79,74
CUB,38.16666667,40,57,14,3,6,37,81,82,36.33333333,21,57,100,13,28,12,38,20,16,41,79,11
CUW,55.63690476,59.85714286,62,48,17,84,92,77,39,51.41666667,48,55,0,79,42,99,54,26,89,12,59,54
CYP,41.58928571,35.42857143,22,81,12,45,17,52,19,47.75,27,69,44,89,52,36,31,75,16,72,15,47
CZE,56.60714286,47.71428571,66,38,4,47,67,66,46,65.5,16,49,96,84,52,89,94,70,33,46,67,90
DNK,53.33333333,56,37,82,49,0,98,55,71,50.66666667,95,55,37,35,48,50,19,35,0,52,83,99
DJI,61.16666667,58,25,71,46,88,86,24,66,64.33333333,55,72,79,15,93,67,84,97,71,93,3,43
DMA,47.44642857,32.14285714,97,29,5,3,63,23,5,62.75,77,73,19,84,42,35,99,49,43,67,75,90
DOM,44.33928571,48.42857143,79,55,4,43,85,37,36,40.25,25,34,58,5,24,87,18,96,97,27,6,6
ECU,40.16666667,29,8,25,71,27,34,8,30,51.33333333,11,46,90,43,42,58,36,82,23,95,40,50
EGY,61.29761905,68.42857143,85,31,59,40,94,88,82,54.16666667,46,87,45,36,71,51,36,37,44,22,86,89
SLV,49.7202381,61.85714286,70,55,57,12,79,82,78,37.58333333,20,92,71,6,60,1,26,9,44,32,67,23
GNQ,53.33333333,48,61,43,76,37,18,17,84,58.66666667,91,81,72,80,63,7,33,49,40,36,65,87
ERI,57.83333333,63,59,70,90,98,62,23,39,52.66666667,19,87,56,78,61,56,67,25,49,63,3,68
EST,47.04166667,43,60,54,76,65,14,8,24,51.08333333,79,19,10,96,56,10,15,54,54,54,89,77
SWZ,45.4047619,54.14285714,67,92,65,68,43,44,0,36.66666667,12,70,84,10,21,18,80,53,2,19,10,61
ETH,49.29166667,48,33,42,70,83,56,10,42,50.58333333,93,11,38,22,64,21,19,91,68,79,97,4
FLK,46.74404762,48.57142857,19,80,21,49,32,46,93,44.91666667,15,45,65,29,13,89,30,78,28,17,72,58
FRO,45.125,42,25,57,28,97,9,52,26,48.25,85,34,79,2,59,50,59,17,21,64,45,64
FJI,52.07738095,45.57142857,17,72,93,64,9,46,18,58.58333333,48,94,82,99,79,80,68,6,8,59,44,36
FIN,54.74404762,66.57142857,83,89,29,90,70,63,42,42.91666667,2,62,57,1,18,39,9,33,81,37,90,86
FRA,56.08333333,54,70,25,92,53,73,35,30,58.16666667,79,52,41,46,23,40,60,96,86,13,78,84
GUF,39.11904762,27.57142857,31,8,20,35,11,52,36,50.66666667,51,2,94,100,41,49,18,97,30,22,91,13
PYF,50.27380952,53.71428571,95,59,15,88,22,94,3,46.83333333,9,31,76,18,20,72,92,90,28,16,64,46
ATF,62.66666667,70,97,73,54,55,97,48,66,55.33333333,79,88,64,79,49,18,70,5,73,100,2,37
GAB,65.18452381,77.28571429,43,97,100,89,99,33,80,53.08333333,25,98,77,7,17,43,94,73,30,49,80,44
GMB,56.47619048,58.28571429,88,37,35,43,89,74,42,54.66666667,55,64,83,46,43,99,39,41,80,10,41,55
GEO,54.99404762,57.57142857,44,47,39,24,84,79,86,52.41666667,45,77,24,2,13,83,93,92,13,65,68,54
DEU,42.58928571,30.42857143,12,84,3,22,72,2,18,54.75,91,55,10,86,9,52,5,67,96,43,93,50
GHA,48.82142857,56.14285714,14,97,90,77,48,0,67,41.5,45,84,21,55,26,20,32,69,53,9,83,1
GIB,55.01785714,67.28571429,64,69,93,0,81,78,86,42.75,55,35,26,87,15,64,6,56,45,97,12,15
GRC,51.5297619,53.14285714,26,56,29,100,49,65,47,49.91666667,60,21,33,56,39,93,11,71,86,20,71,38
GRL,60.54761905,57.42857143,12,5,57,59,89,81,99,63.66666667,23,90,74,44,92,93,70,5,73,99,9,92
GRD,63.91666667,67,98,24,65,80,38,96,68,60.83333333,83,57,57,87,85,55,56,22,72,17,60,79
GLP,57.2797619,59.14285714,38,53,65,99,44,83,32,55.41666667,37,37,65,1,48,69,90,87,1,62,85,83
GUM,62.94642857,63.14285714,99,94,66,73,56,18,36,62.75,52,94,97,14,89,62,74,55,25,80,13,98
GTM,56.60714286,68.71428571,39,90,87,50,26,95,94,44.5,47,2,41,76,9,95,12,31,87,71,3,60
GGY,47.9047619,41.14285714,69,61,70,44,11,26,7,54.66666667,87,41,88,79,82,21,23,23,67,86,20,39
GIN,58.35119048,67.28571429,10,96,87,94,58,63,63,49.41666667,34,29,17,40,67,59,99,68,54,3,95,28
GNB,52.19047619,45.71428571,38,83,19,20,79,52,29,58.66666667,89,54,93,84,46,24,56,33,96,25,40,64
GUY,44.73809524,40.14285714,8,67,0,54,90,40,22,49.33333333,22,40,57,80,89,58,9,71,2,28,36,100
HTI,39.80357143,30.85714286,27,40,2,36,63,5,43,48.75,68,0,61,79,5,63,8,4,99,98,43,57
HMD,46.57738095,42.57142857,46,96,58,0,48,32,18,50.58333333,44,37,14,33,89,6,73,72,71,74,54,40
VAT,38.86309524,42.14285714,90,10,19,15,23,73,65,35.58333333,35,38,40,2,75,10,1,3,76,91,45,11
HND,50.88690476,57.85714286,8,79,28,90,98,60,42,43.91666667,53,97,29,23,4,7,84,75,67,47,10,31
HKG,47.48809524,37.14285714,5,89,27,15,70,33,21,57.83333333,74,0,46,38,81,91,58,67,70,64,15,90
HUN,46.75,50,52,75,90,4,34,5,90,43.5,53,64,81,1,81,29,34,45,23,28,7,76
ISL,42.82142857,32.14285714,52,13,41,13,32,6,68,53.5,20,92,92,60,1,69,35,70,66,53,36,48
IND,49.52380952,52.71428571,63,28,47,67,93,25,46,46.33333333,75,5,76,53,8,44,74,79,16,23,59,44
IDN,48.85714286,54.71428571,24,3,32,62,82,87,93,43,45,14,25,3,51,31,93,77,19,49,41,68
IRN,53.54166667,58,63,63,64,78,52,25,61,49.08333333,66,43,37,30,75,99,13,68,53,47,45,13
IRQ,55.625,60,40,13,86,80,97,59,45,51.25,39,50,35,92,21,86,51,25,74,56,76,10
IRL,53.69642857,52.14285714,77,54,16,39,47,45,87,55.25,89,74,4,34,61,3,76,59,73,93,87,10
IMN,56.03571429,57.57142857,46,81,42,88,39,76,31,54.5,91,55,43,43,77,76,8,4,80,65,41,71
ISR,43.68452381,40.28571429,43,60,15,59,43,39,23,47.08333333,53,19,24,15,77,83,10,21,99,1,79,84
ITA,50.54166667,76,98,73,70,79,63,95,54,25.08333333,19,30,36,18,20,44,76,15,7,12,14,10
JAM,48.0297619,51.14285714,66,24,69,11,71,90,27,44.91666667,10,16,45,55,0,63,66,57,92,8,94,33
JPN,57.6547619,60.14285714,19,59,87,76,51,71,58,55.16666667,77,49,50,58,62,77,74,78,57,66,11,3
JEY,53.76785714,50.28571429,84,64,24,27,29,38,86,57.25,54,77,71,81,9,52,51,87,17,29,94,65
JOR,49.83333333,61,77,81,42,47,32,58,90,38.66666667,61,30,20,42,23,39,87,35,61,21,2,43
KAZ,49.95238095,55.57142857,32,73,95,46,64,36,43,44.33333333,29,12,90,55,25,83,82,36,49,49,3,19
KEN,48.60119048,60.28571429,37,52,55,70,87,92,29,36.91666667,30,4,68,12,25,22,79,33,84,11,51,24
KIR,50.5,62,98,21,45,87,22,71,90,39,57,91,25,33,37,27,39,10,0,70,17,62
PRK,45.4047619,45.14285714,54,60,45,40,60,55,2,45.66666667,34,22,26,36,81,30,16,31,92,71,60,49
KOR,54.63690476,54.85714286,52,87,85,90,19,40,11,54.41666667,89,0,78,79,84,20,75,14,78,34,8,94
KWT,61.73214286,64.71428571,66,66,76,78,76,11,80,58.75,27,50,67,78,86,50,99,6,44,73,71,54
KGZ,51.71428571,61.42857143,83,67,40,2,97,66,75,42,90,10,1,43,21,73,53,0,69,5,99,40
LAO,53.05952381,45.28571429,78,15,15,100,1,47,61,60.83333333,29,92,86,11,73,82,82,4,78,56,76,61
LVA,48.81547619,35.71428571,46,42,97,18,15,16,16,61.91666667,82,48,100,54,56,64,53,52,62,82,11,79
LBN,50.01190476,48.85714286,24,71,70,44,49,20,64,51.16666667,33,22,96,85,73,2,83,0,4,55,99,62
LSO,46.9047619,39.14285714,64,19,34,20,84,2,51,54.66666667,92,54,59,77,30,92,2,44,77,93,25,11
LBR,40.18452381,43.28571429,15,35,6,86,89,21,51,37.08333333,1,19,9,44,55,35,73,85,88,9,22,5
LBY,41.19047619,48.71428571,25,68,49,34,45,49,71,33.66666667,22,22,1,17,43,44,19,52,69,13,86,16
LIE,52.06547619,46.71428571,39,21,16,41,68,44,98,57.41666667,89,98,19,94,64,73,45,65,60,12,28,42
LTU,58.82142857,73.14285714,82,97,79,56,95,47,56,44.5,50,49,75,42,51,29,5,27,45,29,40,92
LUX,64.28571429,62.57142857,49,97,76,61,71,75,9,66,12,75,70,84,84,46,98,89,40,98,85,11
MAC,49.75595238,52.42857143,28,90,35,41,33,41,99,47.08333333,6,29,51,41,22,89,40,71,75,45,65,31
MKD,46.29761905,47.42857143,91,91,24,41,3,79,3,45.16666667,60,15,10,13,8,64,24,77,97,81,92,1
MDG,48.10119048,38.28571429,34,8,14,47,56,73,36,57.91666667,95,95,71,86,91,48,38,60,7,22,12,70
MWI,49.95833333,51,1,100,6,78,95,40,37,48.91666667,38,93,2,25,16,47,58,89,42,55,89,33
MYS,53.49404762,63.57142857,48,42,84,25,50,96,100,43.41666667,57,22,90,59,44,16,37,34,69,4,12,77
MDV,57.63690476,67.85714286,21,83,76,59,88,83,65,47.41666667,32,71,17,78,82,87,4,89,62,1,46,0
MLI,48.68452381,64.28571429,94,58,49,51,89,89,20,33.08333333,12,42,7,22,43,54,60,31,62,9,3,52
MLT,48.57738095,37.57142857,2,52,9,21,85,86,8,59.58333333,100,67,45,78,95,15,21,74,49,97,29,45
MHL,52.28571429,54.57142857,75,99,56,10,40,11,91,50,58,56,100,13,6,3,53,36,49,86,75,65
MTQ,41.10119048,42.28571429,25,53,21,86,9,64,38,39.91666667,23,74,17,3,61,5,46,50,60,6,79,55
MRT,44.04166667,44,49,0,92,77,51,24,15,44.08333333,39,38,69,46,27,71,67,61,12,33,61,5
MUS,47.16666667,30,67,47,34,34,0,2,26,64.33333333,25,72,86,81,99,20,77,73,44,29,88,78
MYT,56.04761905,61.42857143,20,34,76,63,53,87,97,50.66666667,55,76,5,28,71,0,62,98,12,65,51,85
MEX,48.35714286,48.71428571,79,12,52,27,76,63,32,48,18,10,94,6,87,63,47,14,70,89,40,38
FSM,40.93452381,38.28571429,46,94,32,8,34,28,26,43.58333333,71,77,61,54,61,4,87,2,23,15,14,54
MDA,58.51190476,53.85714286,36,49,27,46,45,80,94,63.16666667,72,68,55,77,55,73,8,97,82,99,26,46
MCO,48.82142857,54.14285714,79,44,69,55,33,1,98,43.5,49,18,59,5,75,64,41,40,56,22,8,85
MNG,41.30952381,44.28571429,40,61,67,50,38,52,2,38.33333333,78,41,36,48,54,36,26,27,54,48,5,7
MNE,53.00595238,46.42857143,60,37,20,84,43,16,65,59.58333333,94,79,45,86,45,93,28,82,97,9,53,4
MSR,40.64285714,35.28571429,1,4,81,71,46,6,38,46,70,80,32,35,2,96,64,34,16,80,19,24
MAR,46.26190476,35.85714286,3,20,8,34,66,21,99,56.66666667,68,45,12,32,79,95,5,92,45,95,45,67
MOZ,42.1547619,37.14285714,18,50,18,78,42,39,15,47.16666667,12,55,88,20,6,54,68,68,79,15,73,28
MMR,41.51190476,31.85714286,19,23,42,22,38,76,3,51.16666667,67,97,88,68,67,42,24,95,9,21,1,35
NAM,55.63095238,69.42857143,89,76,92,41,81,66,41,41.83333333,74,9,16,68,77,38,60,13,29,49,5,64
NRU,47.16071429,52.57142857,33,96,67,81,5,65,21,41.75,30,2,92,51,32,2,23,36,59,77,84,13
NPL,51.125,60,56,47,90,36,39,55,97,42.25,18,79,62,98,3,17,22,34,86,28,18,42
NLD,54.88095238,61.42857143,77,83,100,78,49,21,22,48.33333333,9,48,1,97,99,68,11,55,3,51,73,65
NCL,49.86904762,43.57142857,19,3,83,65,49,32,54,56.16666667,24,15,60,97,52,49,89,36,85,32,39,96
NZL,54.28571429,63.57142857,99,59,67,96,15,36,73,45,52,1,44,20,26,63,83,78,64,6,65,38
NIC,56.86904762,57.57142857,71,16,55,96,91,69,5,56.16666667,72,13,2,27,83,57,40,86,57,84,59,94
NER,48.27380952,44.71428571,37,91,23,82,32,8,40,51.83333333,56,83,58,11,81,44,10,43,91,68,28,49
NGA,44.26190476,39.85714286,2,20,59,24,32,63,79,48.66666667,47,41,84,36,57,22,61,23,56,4,100,53
NIU,50.73809524,54.14285714,76,59,22,8,59,61,94,47.33333333,60,1,39,96,48,63,21,67,2,31,66,74
NFK,60.14880952,69.71428571,74,95,50,72,47,93,57,50.58333333,64,50,79,66,61,58,18,41,58,17,30,65
MNP,43.83333333,37,3,25,14,87,43,34,53,50.66666667,87,57,14,32,26,100,69,17,65,51,61,29
NOR,60.2202381,68.85714286,36,81,70,46,91,69,89,51.58333333,28,87,47,69,3,3,42,59,43,70,78,90
OMN,51.70833333,58,65,29,21,82,29,81,99,45.41666667,18,83,16,71,78,6,40,36,55,49,80,13
PAK,58.80357143,53.85714286,64,25,47,71,18,55,97,63.75,36,86,97,23,49,97,98,49,55,48,52,75
PLW,48.73809524,48.14285714,27,0,24,62,96,78,50,49.33333333,97,55,44,2,74,18,36,82,97,9,25,53
PSE,40.91666667,44,53,73,43,13,4,30,92,37.83333333,6,75,18,47,27,9,3,80,66,49,62,12
PAN,62.58333333,61,79,89,18,39,66,79,57,64.16666667,8,80,89,81,16,99,28,58,39,98,91,83
PNG,41.38690476,35.85714286,48,51,62,9,12,66,3,46.91666667,7,6,48,16,93,90,39,35,29,76,38,86
PRY,55.52380952,51.71428571,71,39,89,25,55,20,63,59.33333333,27,100,28,74,39,42,94,100,98,36,67,7
PER,49.55357143,39.85714286,44,4,85,10,19,49,68,59.25,62,96,63,64,69,88,30,44,79,32,67,17
PHL,54.75595238,56.42857143,62,91,33,67,67,69,6,53.08333333,99,72,1,9,94,48,45,31,50,17,87,84
PCN,56.1547619,60.14285714,29,92,97,34,93,12,64,52.16666667,22,60,56,45,86,17,43,6,67,68,63,93
POL,52.44047619,45.71428571,26,71,67,11,43,15,87,59.16666667,14,20,69,98,100,96,25,68,99,64,24,33
PRT,48.76785714,61.28571429,89,88,51,85,65,11,40,36.25,4,14,32,89,13,66,47,20,30,30,20,70
PRI,42.27380952,33.71428571,50,33,53,22,59,7,12,50.83333333,87,27,62,46,4,48,66,28,88,76,13,65
QAT,73.33928571,67.42857143,39,70,81,58,69,57,98,79.25,95,83,63,88,65,85,72,62,87,63,96,92
REU,47.80952381,36.28571429,24,11,25,25,47,59,63,59.33333333,73,55,62,60,66,82,90,27,58,57,3,79
ROU,54.875,53,62,59,71,13,52,82,32,56.75,56,83,5,71,34,28,42,80,35,80,95,72
RUS,56.11904762,65.57142857,25,56,98,90,97,55,38,46.66666667,21,38,53,52,8,85,63,28,37,12,95,68
RWA,53.82738095,56.57142857,87,49,2,58,62,99,39,51.08333333,64,79,62,9,72,84,66,68,61,18,8,22
BLM,49.5952381,52.85714286,97,98,46,8,45,71,5,46.33333333,100,35,40,85,25,48,4,72,45,0,90,12
SHN,47.82142857,48.14285714,60,69,39,54,92,11,12,47.5,8,2,72,53,100,83,61,54,16,44,68,9
KNA,59.68452381,74.28571429,78,79,35,71,88,89,80,45.08333333,63,55,55,19,60,23,62,57,9,3,43,92
LCA,40.75595238,31.42857143,21,8,20,30,86,35,20,50.08333333,83,62,9,34,83,90,86,42,30,41,0,41
MAF,55.95238095,51.57142857,1,26,56,81,96,76,25,60.33333333,93,96,80,50,39,56,97,39,20,70,0,84
SPM,49.29761905,45.42857143,34,39,89,78,21,55,2,53.16666667,43,49,23,35,50,54,71,18,78,95,31,91
VCT,40.95833333,27,5,75,15,1,3,34,56,54.91666667,79,32,64,75,40,63,44,85,97,14,45,21
WSM,44.88690476,36.85714286,33,67,33,72,1,22,30,52.91666667,15,99,61,79,77,1,32,66,99,6,41,59
SMR,42.98809524,42.14285714,48,4,61,82,76,12,12,43.83333333,31,21,35,85,29,43,51,57,50,20,81,23
STP,45.27380952,34.71428571,45,91,40,15,12,20,20,55.83333333,30,100,97,51,7,70,1,81,73,48,37,75
SAU,54.78571429,75.57142857,26,90,97,54,80,82,100,34,25,30,31,0,30,63,0,21,25,93,72,18
SEN,59.44642857,59.14285714,93,72,27,83,14,55,70,59.75,18,79,33,50,21,94,91,73,98,28,91,41
SRB,47.41071429,50.57142857,55,33,1,95,60,89,21,44.25,10,95,34,50,47,72,9,36,38,27,44,69
SYC,42.39880952,37.71428571,15,69,23,2,93,7,55,47.08333333,39,41,20,97,8,50,38,16,90,36,51,79
SLE,40.10119048,34.28571429,9,94,1,19,33,62,22,45.91666667,76,4,4,34,65,42,48,47,70,56,66,39
SGP,45.82738095,33.57142857,47,90,47,40,7,1,3,58.08333333,100,73,82,20,44,20,60,34,79,74,76,35
SXM,42.7797619,38.14285714,2,100,38,25,55,1,46,47.41666667,72,39,73,22,84,23,60,79,7,60,13,37
SVK,50.22619048,52.28571429,78,54,1,98,48,67,20,48.16666667,5,50,68,21,85,38,46,62,56,21,33,93
SVN,48.92857143,38.85714286,64,8,34,6,40,99,21,59,47,89,29,58,11,55,52,90,69,64,95,49
SLB,49.81547619,47.71428571,6,100,75,93,8,19,33,51.91666667,100,77,14,43,64,51,86,33,26,53,45,31
SOM,50.18452381,56.28571429,72,88,7,51,64,32,80,44.08333333,65,23,46,37,22,77,12,84,67,19,22,55
ZAF,57.78571429,53.57142857,73,20,30,7,84,73,88,62,42,77,97,31,80,46,55,21,98,95,6,96
SGS,58.41071429,65.57142857,82,79,83,91,80,6,38,51.25,45,68,98,19,83,27,44,44,74,32,20,61
SSD,50.41071429,59.57142857,68,29,79,94,89,6,52,41.25,18,43,42,65,46,24,4,44,67,80,25,37
ESP,50.80952381,60.28571429,48,83,71,14,78,52,76,41.33333333,87,43,92,29,37,20,38,17,13,34,17,69
LKA,51.67261905,45.42857143,17,100,0,60,94,35,12,57.91666667,65,56,30,95,23,13,56,32,81,77,94,73
SDN,45.01785714,43.28571429,54,26,9,62,49,18,85,46.75,46,99,51,73,10,3,98,21,39,41,78,2
SUR,47.625,50,54,60,74,40,72,6,44,45.25,11,87,7,15,80,88,5,66,34,67,20,63
SJM,39.61309524,44.14285714,56,32,46,12,45,27,91,35.08333333,24,21,1,29,73,33,39,19,66,58,20,38
SWE,54.9047619,52.14285714,12,92,93,21,23,72,52,57.66666667,83,57,50,95,98,55,43,65,5,71,64,6
CHE,41.60119048,37.28571429,15,10,90,32,31,11,72,45.91666667,70,28,93,46,27,96,36,7,43,33,55,17
SYR,61.49404762,64.57142857,34,96,28,100,53,67,74,58.41666667,64,56,40,58,93,82,29,72,7,58,94,48
TWN,56.7797619,61.14285714,21,41,75,95,59,61,76,52.41666667,84,49,71,11,63,96,21,12,77,62,26,57
TJK,45.95238095,46.57142857,93,81,22,87,38,4,1,45.33333333,63,27,22,71,11,67,8,99,49,52,9,66
TZA,58.08928571,51.42857143,67,51,48,73,35,8,78,64.75,74,17,84,75,9,28,29,100,92,97,86,86
THA,48.02380952,53.71428571,45,55,57,92,47,55,25,42.33333333,14,23,17,49,74,21,68,97,17,100,28,0
TLS,53.85714286,65.71428571,74,93,46,94,20,46,87,42,17,31,38,48,62,37,22,7,41,62,47,92
TGO,44.875,47,34,42,64,26,66,84,13,42.75,8,82,81,27,33,45,28,52,28,72,39,18
TKL,54.88095238,58.42857143,14,100,80,51,32,87,45,51.33333333,90,9,76,97,20,67,53,49,46,63,12,34
TON,49.14285714,46.28571429,52,23,58,25,39,44,83,52,34,53,41,60,21,69,84,54,89,0,52,67
TTO,52.5,63,84,100,17,96,42,59,43,42,7,44,60,23,88,89,60,19,33,35,35,11
TUN,52.20833333,54,69,63,54,24,43,66,59,50.41666667,53,11,77,1,3,58,2,87,70,81,89,73
TUR,43.61904762,40.57142857,52,45,21,70,1,15,80,46.66666667,6,99,14,100,17,63,55,80,50,22,6,48
TKM,51.6547619,48.14285714,65,76,57,72,37,26,4,55.16666667,31,89,89,50,47,44,71,19,52,51,42,77
TCA,51.4047619,51.14285714,82,10,18,86,47,77,38,51.66666667,57,3,50,87,67,18,94,49,33,73,57,32
TUV,66.53571429,60.57142857,87,66,91,15,53,94,18,72.5,58,94,78,94,90,78,36,96,79,78,76,13
UGA,48.61309524,43.14285714,52,19,13,84,62,1,71,54.08333333,1,62,75,70,51,74,20,86,65,7,54,84
